Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","CP_Radial_D5.0mm_P2.00mm",113.750000,-89.250000,180.000000,top
"C2","220u","CP_Radial_D5.0mm_P2.00mm",106.277500,-110.667500,0.000000,top
"C3","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",137.715000,-123.667500,0.000000,top
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",156.530000,-113.857500,180.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",170.092500,-130.610000,-90.000000,top
"D1","LED","LED_D5.0mm",175.277500,-74.667500,-90.000000,top
"D2","LED","LED_D5.0mm",137.277500,-74.127500,-90.000000,top
"D3","LED","LED_D5.0mm",163.277500,-74.667500,-90.000000,top
"D4","11DQ06","D_DO-41_SOD81_P12.70mm_Horizontal",119.277500,-102.017500,90.000000,top
"D5","LED","LED_D5.0mm",150.277500,-74.127500,-90.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal",111.277500,-79.667500,90.000000,top
"L1","330u","L_Radial_D7.2mm_P3.00mm_Murata_1700",119.277500,-110.667500,180.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",175.277500,-69.667500,90.000000,top
"R2","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",137.277500,-69.747500,90.000000,top
"R3","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",163.277500,-69.747500,90.000000,top
"R4","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",150.277500,-69.747500,90.000000,top
"R5","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",193.827500,-90.250000,180.000000,top
"R6","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",193.827500,-94.667500,180.000000,top
"R7","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",137.727500,-119.667500,0.000000,top
"R8","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",193.727500,-98.667500,180.000000,top
"R9","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",135.727500,-83.300000,180.000000,top
"R10","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",145.917500,-83.477500,180.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",164.727500,-83.477500,180.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",152.727500,-83.477500,0.000000,top
"R13","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",137.727500,-127.667500,0.000000,top
"R14","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",174.917500,-98.000000,0.000000,top
"R15","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",170.000000,-112.250000,-90.000000,top
"R16","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",174.917500,-101.250000,0.000000,top
"R17","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",174.917500,-91.000000,0.000000,top
"R18","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",174.917500,-94.477500,0.000000,top
"R19","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",170.092500,-118.307500,-90.000000,top
"R20","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",170.092500,-124.307500,-90.000000,top
"SW1","~","SW_PUSH_6mm_H4.3mm",123.027500,-121.417500,0.000000,top
"SW2","~","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",145.980000,-121.667500,-90.000000,top
"U1","LM2574N-5","DIP-8_W7.62mm",105.657500,-104.287500,90.000000,top
"U2","74LS47","DIP-16_W7.62mm_Socket_LongPads",158.657500,-87.587500,0.000000,top
"U3","4027","DIP-16_W7.62mm_Socket_LongPads",129.847500,-87.610000,0.000000,top
"U4","4027","DIP-16_W7.62mm_Socket_LongPads",144.847500,-87.610000,0.000000,top
"U5","HDSP-7401","HDSP-7401",182.000000,-90.460000,0.000000,top
"U6","74LVC1G11","SOT-23-6",131.277500,-114.667500,-90.000000,top
"U7","NE555P","DIP-8_W7.62mm",153.472500,-119.857500,0.000000,top
